#dvd_title_id_f,title,release_date,award,label_id,sound_id,genre_id,rating_id,format_id
113,American Streetfighter 1&2 ,,,112,1,2,4,2
114,Amistad,,,38,4,9,7,8
115,Amistad,,,38,3,9,7,8
116,An American In Paris,,,134,1,16,4,2
117,An American Werewolf In Paris ,,,16,1,21,7,8
118,Anaconda ,,,24,1,21,6,2
119,Analyze This: Special Edition,,,134,3,7,7,2
120,Anastasia (1997),,,124,3,3,2,2
121,Anchors Aweigh,2000-05-02,,134,7,16,4,2
122,And Now For Something Completely Different,,,24,1,7,5,2
123,And The Ship Sails On,,,26,1,11,4,8
124,Anderson Bruford Wakeman & Howe: An Evening of Yes Music Plus ,,,55,1,15,4,2
125,Andrei Rublev,,,56,1,11,4,8
126,"Andromeda Strain, The ",,,55,1,19,2,8
127,Andy Griffith Show: Classic Favorites,,,28,1,22,4,2
128,Andy Kaufman:The Midnight Special,,,115,7,7,4,4
129,Angel & The Badman,,,108,1,23,4,2
130,Angel & The Badman,,,129,1,23,4,2
131,Angel and the Badman ,,,71,1,23,4,2
132,Angel and the Badman/John Wayne on Film,,,28,1,1,7,2
133,Angel Heart ,,,63,1,21,7,8
134,Angel Heart (1994),,,120,1,11,4,8
135,Angel Town,,,117,1,2,7,2
136,Angels in the Attic ,,,112,1,1,5,2
137,Anima Mundi ,,,112,1,20,4,8
138,Animal Crackers ,,,55,1,7,4,2
139,Animal Farm (1999),,,13,7,19,4,2
140,Animal House: Collectors Edition ,,,127,1,7,7,8
141,Animal Instincts 1,,,117,1,9,4,2
142,Animal Instincts 3:The Seductress,,,55,1,21,4,2
143,Animaland ,,,55,1,3,4,2
144,Animals In The Wild #1-5 (Boxed Set),,,68,1,8,4,2
145,Animals In The Wild #1:Fangs & Claws,,,68,1,8,4,2
146,Animals In The Wild #2:A Walk On The Wild Side,,,68,1,8,4,2
147,Animals In The Wild #3:Cries In The Wild,,,68,1,8,4,2
148,Animals In The Wild #4:Amazing Habitats,,,68,1,8,4,2
149,Animals In The Wild #5:Animals Undercover,,,68,1,8,4,2
150,Animated Hit Disney DVD Gift Set (Available only until 12/27/99),,,16,1,3,7,2
151,Animation Greats! ,,,65,1,3,4,2
152,Animation Legend: Winsor McCay ,,,65,1,8,4,2
153,Anna Karenina ,,,68,1,6,4,2
154,Anna Nicole Smith: Exposed ,,,97,1,20,4,2
155,Anne Murray 2-Pack:Classic Christmas/Intimate Evening,,,48,1,15,4,2
156,Anne Murray's Classic Christmas,,,48,1,15,4,2
157,Annie Hall ,,1978,74,1,9,7,2
158,Another 9 1/2 Weeks ,,,121,1,9,7,2
